,City,2018rank,State,2018estimate,2010Census,Change,2016 land area (sq miles),2016 land area (sq km),2016 population density (sq miles),2016 population density (sq km),Location,Link
202,Hampton,203,Virginia,134313,137436,−2.27%,515,1334,2629,1015,37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W﻿ / 37.0480; -76.2971﻿ (Hampton),"https://en.wikipedia.org/wiki/Hampton,_Virginia"
203,Gainesville,204,Florida,133857,124354,+7.64%,623,1614,2112,815,29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W﻿ / 29.6788; -82.3461﻿ (Gainesville),"https://en.wikipedia.org/wiki/Gainesville,_Florida"
204,Visalia,205,California,133800,124442,+7.52%,375,971,3495,1349,36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W﻿ / 36.3273; -119.3289﻿ (Visalia),"https://en.wikipedia.org/wiki/Visalia,_California"
205,Coral Springs,206,Florida,133507,121096,+10.25%,238,616,5465,110,26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W﻿ / 26.2707; -80.2593﻿ (Coral Springs),"https://en.wikipedia.org/wiki/Coral_Springs,_Florida"
206,Columbia,207,South Carolina,133451,129272,+3.23%,1335,3458,1006,388,34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W﻿ / 34.0291; -80.8980﻿ (Columbia),"https://en.wikipedia.org/wiki/Columbia,_South_Carolina"
207,Cedar Rapids,208,Iowa,133174,126326,+5.42%,708,1834,1852,715,41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W﻿ / 41.9670; -91.6778﻿ (Cedar Rapids),"https://en.wikipedia.org/wiki/Cedar_Rapids,_Iowa"
208,Sterling Heights,209,Michigan,132964,129699,+2.52%,365,945,3628,1401,42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W﻿ / 42.5812; -83.0303﻿ (Sterling Heights),"https://en.wikipedia.org/wiki/Sterling_Heights,_Michigan"
209,New Haven,210,Connecticut,130418,129779,+0.49%,187,484,6948,683,41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W﻿ / 41.3108; -72.9250﻿ (New Haven),"https://en.wikipedia.org/wiki/New_Haven,_Connecticut"
210,Stamford,211,Connecticut,129775,122643,+5.82%,376,974,3434,136,41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W﻿ / 41.0799; -73.5460﻿ (Stamford),"https://en.wikipedia.org/wiki/Stamford,_Connecticut"
211,Concord,212,California,129688,122067,+6.24%,305,790,4221,1630,37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W﻿ / 37.9722; -122.0016﻿ (Concord),"https://en.wikipedia.org/wiki/Concord,_California"
212,Kent,213,Washington,129618,92411,+40.26%,337,873,3784,1461,47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W﻿ / 47.3880; -122.2127﻿ (Kent),"https://en.wikipedia.org/wiki/Kent,_Washington"
213,Santa Clara,214,California,129488,116468,+11.18%,184,477,6845,643,37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W﻿ / 37.3646; -121.9679﻿ (Santa Clara),"https://en.wikipedia.org/wiki/Santa_Clara,_California"
214,Elizabeth,215,New Jersey,128885,124969,+3.13%,123,319,10459,4038,40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W﻿ / 40.6664; -74.1935﻿ (Elizabeth),"https://en.wikipedia.org/wiki/Elizabeth,_New_Jersey"
215,Round Rock,216,Texas,128739,99887,+28.88%,356,9,3396,1311,30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W﻿ / 30.5252; -97.6660﻿ (Round Rock),"https://en.wikipedia.org/wiki/Round_Rock,_Texas"
216,Thousand Oaks,217,California,127690,126683,+0.79%,552,1430,2335,90,34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W﻿ / 34.1933; -118.8742﻿ (Thousand Oaks),"https://en.wikipedia.org/wiki/Thousand_Oaks,_California"
217,Lafayette,218,Louisiana,126143,120623,+4.58%,538,1393,2372,916,30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W﻿ / 30.2074; -92.0285﻿ (Lafayette),"https://en.wikipedia.org/wiki/Lafayette,_Louisiana"
218,Athens,219,Georgia,125964,115452,+9.11%,1164,3015,1060,410,33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W﻿ / 33.9496; -83.3701﻿ (Athens),"https://en.wikipedia.org/wiki/Athens,_Georgia"
219,Topeka,220,Kansas,125904,127473,−1.23%,615,1593,2062,796,39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W﻿ / 39.0347; -95.6962﻿ (Topeka),"https://en.wikipedia.org/wiki/Topeka,_Kansas"
220,Simi Valley,221,California,125851,124237,+1.30%,415,1075,3044,1175,34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W﻿ / 34.2669; -118.7485﻿ (Simi Valley),"https://en.wikipedia.org/wiki/Simi_Valley,_California"
221,Fargo,222,North Dakota,124844,105549,+18.28%,493,177,2450,950,46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W﻿ / 46.8652; -96.8290﻿ (Fargo),"https://en.wikipedia.org/wiki/Fargo,_North_Dakota"
222,Norman,223,Oklahoma,123471,110925,+11.31%,1788,4631,683,64,35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W﻿ / 35.2406; -97.3453﻿ (Norman),"https://en.wikipedia.org/wiki/Norman,_Oklahoma"
223,Columbia,224,Missouri,123180,108500,+13.53%,650,1683,1856,717,38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W﻿ / 38.951561; -92.328638﻿ (Columbia),"https://en.wikipedia.org/wiki/Columbia,_Missouri"
224,Abilene,225,Texas,122999,117063,+5.07%,1067,764,1146,44,32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W﻿ / 32.4545; -99.7381﻿ (Abilene),"https://en.wikipedia.org/wiki/Abilene,_Texas"
225,Wilmington,226,North Carolina,122607,106476,+15.15%,516,1336,2278,880,34°12′33″N 77°53′09″W﻿ / ﻿34.2092°N 77.8858°W﻿ / 34.2092; -77.8858﻿ (Wilmington),"https://en.wikipedia.org/wiki/Wilmington,_North_Carolina"
226,Hartford,227,Connecticut,122587,124775,−1.75%,174,451,7083,735,41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W﻿ / 41.7659; -72.6816﻿ (Hartford),"https://en.wikipedia.org/wiki/Hartford,_Connecticut"
227,Victorville,228,California,122312,115903,+5.53%,733,1898,1668,644,34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W﻿ / 34.5277; -117.3536﻿ (Victorville),"https://en.wikipedia.org/wiki/Victorville,_California"
228,Pearland,229,Texas,122149,91252,+33.86%,463,1199,2453,947,29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W﻿ / 29.5558; -95.3231﻿ (Pearland),"https://en.wikipedia.org/wiki/Pearland,_Texas"
229,Vallejo,230,California,121913,115942,+5.15%,307,795,3951,155,38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W﻿ / 38.1079; -122.2640﻿ (Vallejo),"https://en.wikipedia.org/wiki/Vallejo,_California"
230,Ann Arbor,231,Michigan,121890,113934,+6.98%,281,78,4298,1659,42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W﻿ / 42.2761; -83.7309﻿ (Ann Arbor),"https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan"
231,Berkeley,232,California,121643,112580,+8.05%,105,7,11547,4458,37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W﻿ / 37.8670; -122.2991﻿ (Berkeley),"https://en.wikipedia.org/wiki/Berkeley,_California"
232,Allentown,233,Pennsylvania,121433,118032,+2.88%,175,453,6882,657,40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W﻿ / 40.5936; -75.4784﻿ (Allentown),"https://en.wikipedia.org/wiki/Allentown,_Pennsylvania"
233,Richardson,234,Texas,120981,99223,+21.93%,286,741,3963,1530,32°58′20″N 96°42′29″W﻿ / ﻿32.9723°N 96.7081°W﻿ / 32.9723; -96.7081﻿ (Richardson),"https://en.wikipedia.org/wiki/Richardson,_Texas"
234,Odessa,235,Texas,120568,99940,+20.64%,452,1171,2608,1007,31°53′02″N 102°20′28″W﻿ / ﻿31.8838°N 102.3411°W﻿ / 31.8838; -102.3411﻿ (Odessa),"https://en.wikipedia.org/wiki/Odessa,_Texas"
235,Arvada,236,Colorado,120492,106433,+13.21%,386,1000,3043,1175,39°50′01″N 105°09′01″W﻿ / ﻿39.8337°N 105.1503°W﻿ / 39.8337; -105.1503﻿ (Arvada),"https://en.wikipedia.org/wiki/Arvada,_Colorado"
236,Cambridge,237,Massachusetts,118977,105162,+13.14%,64,166,17289,6675,42°22′34″N 71°07′07″W﻿ / ﻿42.3760°N 71.1187°W﻿ / 42.3760; -71.1187﻿ (Cambridge),"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts"
237,Sugar Land,238,Texas,118600,78817,+50.48%,340,881,3488,1347,29°35′58″N 95°36′51″W﻿ / ﻿29.5994°N 95.6142°W﻿ / 29.5994; -95.6142﻿ (Sugar Land),"https://en.wikipedia.org/wiki/Sugar_Land,_Texas"
238,Beaumont,239,Texas,118428,118296,+0.11%,821,16,1441,556,30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W﻿ / 30.0849; -94.1453﻿ (Beaumont),"https://en.wikipedia.org/wiki/Beaumont,_Texas"
239,Lansing,240,Michigan,118427,114297,+3.61%,391,1013,2967,1146,42°42′51″N 84°33′33″W﻿ / ﻿42.7143°N 84.5593°W﻿ / 42.7143; -84.5593﻿ (Lansing),"https://en.wikipedia.org/wiki/Lansing,_Michigan"
240,Evansville,241,Indiana,117963,117429,+0.45%,473,15,2526,975,37°59′16″N 87°32′05″W﻿ / ﻿37.9877°N 87.5347°W﻿ / 37.9877; -87.5347﻿ (Evansville),"https://en.wikipedia.org/wiki/Evansville,_Indiana"
241,Rochester,242,Minnesota,116961,106769,+9.55%,546,1414,2088,806,44°00′55″N 92°28′38″W﻿ / ﻿44.0154°N 92.4772°W﻿ / 44.0154; -92.4772﻿ (Rochester),"https://en.wikipedia.org/wiki/Rochester,_Minnesota"
242,Independence,243,Missouri,116925,116830,+0.08%,778,015,1504,581,39°05′08″N 94°21′08″W﻿ / ﻿39.0855°N 94.3521°W﻿ / 39.0855; -94.3521﻿ (Independence),"https://en.wikipedia.org/wiki/Independence,_Missouri"
243,Fairfield,244,California,116884,105321,+10.98%,409,1059,2806,1083,38°15′33″N 122°01′56″W﻿ / ﻿38.2593°N 122.0321°W﻿ / 38.2593; -122.0321﻿ (Fairfield),"https://en.wikipedia.org/wiki/Fairfield,_California"
244,Provo,245,Utah,116702,112488,+3.75%,417,1080,2803,108,40°14′43″N 111°38′41″W﻿ / ﻿40.2453°N 111.6448°W﻿ / 40.2453; -111.6448﻿ (Provo),"https://en.wikipedia.org/wiki/Provo,_Utah"
245,Clearwater,246,Florida,116478,107685,+8.17%,259,671,4415,1705,27°58′44″N 82°46′00″W﻿ / ﻿27.9789°N 82.7666°W﻿ / 27.9789; -82.7666﻿ (Clearwater),"https://en.wikipedia.org/wiki/Clearwater,_Florida"
246,College Station,247,Texas,116218,93857,+23.82%,510,131,2199,849,30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W﻿ / 30.5852; -96.2964﻿ (College Station),"https://en.wikipedia.org/wiki/College_Station,_Texas"
247,West Jordan,248,Utah,116046,103712,+11.89%,323,837,3520,1360,40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W﻿ / 40.6024; -112.0008﻿ (West Jordan),"https://en.wikipedia.org/wiki/West_Jordan,_Utah"
248,Carlsbad,249,California,115877,105328,+10.02%,377,976,3023,1167,33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W﻿ / 33.1239; -117.2828﻿ (Carlsbad),"https://en.wikipedia.org/wiki/Carlsbad,_California"
249,El Monte,250,California,115586,113475,+1.86%,96,49,12063,4658,34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W﻿ / 34.0746; -118.0291﻿ (El Monte),"https://en.wikipedia.org/wiki/El_Monte,_California"
250,Murrieta,251,California,114985,103466,+11.13%,336,870,3324,183,33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W﻿ / 33.5721; -117.1904﻿ (Murrieta),"https://en.wikipedia.org/wiki/Murrieta,_California"
251,Temecula,252,California,114742,100097,+14.63%,373,966,3031,1170,33°29′35″N 117°07′54″W﻿ / ﻿33.4931°N 117.1317°W﻿ / 33.4931; -117.1317﻿ (Temecula),"https://en.wikipedia.org/wiki/Temecula,_California"
252,Springfield,253,Illinois,114694,116250,−1.34%,601,1557,1925,743,39°47′28″N 89°38′41″W﻿ / ﻿39.7911°N 89.6446°W﻿ / 39.7911; -89.6446﻿ (Springfield),"https://en.wikipedia.org/wiki/Springfield,_Illinois"
253,Palm Bay,254,Florida,114194,103190,+10.66%,657,170,1676,647,27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W﻿ / 27.9856; -80.6626﻿ (Palm Bay),"https://en.wikipedia.org/wiki/Palm_Bay,_Florida"
254,Costa Mesa,255,California,113615,109960,+3.32%,157,407,7186,775,33°39′57″N 117°54′44″W﻿ / ﻿33.6659°N 117.9123°W﻿ / 33.6659; -117.9123﻿ (Costa Mesa),"https://en.wikipedia.org/wiki/Costa_Mesa,_California"
255,Westminster,256,Colorado,113479,106114,+6.94%,317,81,3592,1387,39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W﻿ / 39.8822; -105.0644﻿ (Westminster),"https://en.wikipedia.org/wiki/Westminster,_Colorado"
256,North Charleston,257,South Carolina,113237,97471,+16.18%,737,1909,1483,573,32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W﻿ / 32.9178; -80.0650﻿ (North Charleston),"https://en.wikipedia.org/wiki/North_Charleston,_South_Carolina"
257,Miami Gardens,258,Florida,113069,107167,+5.51%,182,471,6212,398,25°56′56″N 80°14′37″W﻿ / ﻿25.9489°N 80.2436°W﻿ / 25.9489; -80.2436﻿ (Miami Gardens),"https://en.wikipedia.org/wiki/Miami_Gardens,_Florida"
258,Manchester,259,New Hampshire,112525,109565,+2.70%,331,857,3339,189,42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W﻿ / 42.9849; -71.4441﻿ (Manchester),"https://en.wikipedia.org/wiki/Manchester,_New_Hampshire"
259,High Point,260,North Carolina,112316,104371,+7.61%,552,1430,2015,778,35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W﻿ / 35.9900; -79.9905﻿ (High Point),"https://en.wikipedia.org/wiki/High_Point,_North_Carolina"
260,Downey,261,California,112269,111772,+0.44%,124,31,9134,357,33°56′18″N 118°07′51″W﻿ / ﻿33.9382°N 118.1309°W﻿ / 33.9382; -118.1309﻿ (Downey),"https://en.wikipedia.org/wiki/Downey,_California"
261,Clovis,262,California,112022,95631,+17.14%,242,67,4404,1700,36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W﻿ / 36.8282; -119.6849﻿ (Clovis),"https://en.wikipedia.org/wiki/Clovis,_California"
262,Pompano Beach,263,Florida,111954,99845,+12.13%,240,6,4558,1760,26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W﻿ / 26.2416; -80.1339﻿ (Pompano Beach),"https://en.wikipedia.org/wiki/Pompano_Beach,_Florida"
263,Pueblo,264,Colorado,111750,106595,+4.84%,536,1388,2058,795,38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W﻿ / 38.2699; -104.6123﻿ (Pueblo),"https://en.wikipedia.org/wiki/Pueblo,_Colorado"
264,Elgin,265,Illinois,111683,108188,+3.23%,374,969,2998,1158,42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W﻿ / 42.0396; -88.3217﻿ (Elgin),"https://en.wikipedia.org/wiki/Elgin,_Illinois"
265,Lowell,266,Massachusetts,111670,106519,+4.84%,136,35,8129,3139,42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W﻿ / 42.6390; -71.3211﻿ (Lowell),"https://en.wikipedia.org/wiki/Lowell,_Massachusetts"
266,Antioch,267,California,111535,102372,+8.95%,294,761,3772,1456,37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W﻿ / 37.9791; -121.7962﻿ (Antioch),"https://en.wikipedia.org/wiki/Antioch,_California"
267,West Palm Beach,268,Florida,111398,99919,+11.49%,551,147,1963,758,26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W﻿ / 26.7464; -80.1251﻿ (West Palm Beach),"https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida"
268,Peoria,269,Illinois,111388,115007,−3.15%,482,148,2371,915,40°45′05″N 89°37′03″W﻿ / ﻿40.7515°N 89.6174°W﻿ / 40.7515; -89.6174﻿ (Peoria),"https://en.wikipedia.org/wiki/Peoria,_Illinois"
269,Everett,270,Washington,111262,103019,+8.00%,333,86,3275,164,47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W﻿ / 47.9566; -122.1914﻿ (Everett),"https://en.wikipedia.org/wiki/Everett,_Washington"
270,Ventura,271,California,111128,106433,+4.41%,218,565,5027,1941,34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W﻿ / 34.2678; -119.2542﻿ (Ventura),"https://en.wikipedia.org/wiki/Ventura,_California"
271,Centennial,272,Colorado,110831,100377,+10.41%,295,764,3727,1439,39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W﻿ / 39.5906; -104.8691﻿ (Centennial),"https://en.wikipedia.org/wiki/Centennial,_Colorado"
272,Lakeland,273,Florida,110516,97422,+13.44%,659,1707,1615,64,28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W﻿ / 28.0555; -81.9549﻿ (Lakeland),"https://en.wikipedia.org/wiki/Lakeland,_Florida"
273,Gresham,274,Oregon,110158,105594,+4.32%,233,603,4786,1848,45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W﻿ / 45.5023; -122.4416﻿ (Gresham),"https://en.wikipedia.org/wiki/Gresham,_Oregon"
274,Richmond,275,California,110146,103701,+6.21%,301,780,3648,1409,37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W﻿ / 37.9523; -122.3606﻿ (Richmond),"https://en.wikipedia.org/wiki/Richmond,_California"
275,Billings,276,Montana,109550,104170,+5.16%,437,113,2525,975,45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W﻿ / 45.7885; -108.5499﻿ (Billings),"https://en.wikipedia.org/wiki/Billings,_Montana"
276,Inglewood,277,California,109419,109673,−0.23%,91,36,12160,4700,33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W﻿ / 33.9561; -118.3443﻿ (Inglewood),"https://en.wikipedia.org/wiki/Inglewood,_California"
277,Broken Arrow,278,Oklahoma,109171,98850,+10.44%,617,1598,1741,67,36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W﻿ / 36.0365; -95.7810﻿ (Broken Arrow),"https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma"
278,Sandy Springs,279,Georgia,108797,93853,+15.92%,377,976,2804,1083,33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W﻿ / 33.9315; -84.3687﻿ (Sandy Springs),"https://en.wikipedia.org/wiki/Sandy_Springs,_Georgia"
279,Jurupa Valley,280,California,108393,0,NA,429,1111,2414,93,34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W﻿ / 34.0026; -117.4676﻿ (Jurupa Valley),"https://en.wikipedia.org/wiki/Jurupa_Valley,_California"
280,Hillsboro,281,Oregon,108389,91611,+18.31%,250,647,4207,164,45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W﻿ / 45.5280; -122.9357﻿ (Hillsboro),"https://en.wikipedia.org/wiki/Hillsboro,_Oregon"
281,Waterbury,282,Connecticut,108093,110366,−2.06%,285,738,3799,1467,41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W﻿ / 41.5585; -73.0367﻿ (Waterbury),"https://en.wikipedia.org/wiki/Waterbury,_Connecticut"
282,Santa Maria,283,California,107408,99553,+7.89%,228,591,4662,1800,34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W﻿ / 34.9332; -120.4438﻿ (Santa Maria),"https://en.wikipedia.org/wiki/Santa_Maria,_California"
283,Boulder,284,Colorado,107353,97385,+10.24%,248,64,4358,1683,40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W﻿ / 40.0270; -105.2519﻿ (Boulder),"https://en.wikipedia.org/wiki/Boulder,_Colorado"
284,Greeley,285,Colorado,107348,92889,+15.57%,478,138,2176,840,40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W﻿ / 40.4153; -104.7697﻿ (Greeley),"https://en.wikipedia.org/wiki/Greeley,_Colorado"
285,Daly City,286,California,107008,101123,+5.82%,76,197,14009,5409,37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W﻿ / 37.7009; -122.4650﻿ (Daly City),"https://en.wikipedia.org/wiki/Daly_City,_California"
286,Meridian,287,Idaho,106804,75092,+42.23%,298,77,3584,1384,43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W﻿ / 43.6142; -116.3989﻿ (Meridian),"https://en.wikipedia.org/wiki/Meridian,_Idaho"
287,Lewisville,288,Texas,106586,95290,+11.85%,367,951,2852,1101,33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W﻿ / 33.0466; -96.9818﻿ (Lewisville),"https://en.wikipedia.org/wiki/Lewisville,_Texas"
288,Davie,289,Florida,106558,91992,+15.83%,349,904,2919,117,26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W﻿ / 26.0791; -80.2850﻿ (Davie),"https://en.wikipedia.org/wiki/Davie,_Florida"
289,West Covina,290,California,106311,106098,+0.20%,160,414,6740,600,34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W﻿ / 34.0559; -117.9099﻿ (West Covina),"https://en.wikipedia.org/wiki/West_Covina,_California"
290,League City,291,Texas,106244,83560,+27.15%,512,136,1992,769,29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W﻿ / 29.4901; -95.1091﻿ (League City),"https://en.wikipedia.org/wiki/League_City,_Texas"
291,Tyler,292,Texas,105729,96900,+9.11%,566,1466,1852,715,32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W﻿ / 32.3173; -95.3059﻿ (Tyler),"https://en.wikipedia.org/wiki/Tyler,_Texas"
292,Norwalk,293,California,105120,105549,−0.41%,97,51,10946,46,33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W﻿ / 33.9076; -118.0835﻿ (Norwalk),"https://en.wikipedia.org/wiki/Norwalk,_California"
293,San Mateo,294,California,105025,97207,+8.04%,121,313,8592,3317,37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W﻿ / 37.5603; -122.3106﻿ (San Mateo),"https://en.wikipedia.org/wiki/San_Mateo,_California"
294,Green Bay,295,Wisconsin,104879,104057,+0.79%,454,1176,2316,894,44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W﻿ / 44.5207; -87.9842﻿ (Green Bay),"https://en.wikipedia.org/wiki/Green_Bay,_Wisconsin"
295,Wichita Falls,296,Texas,104576,104553,+0.02%,722,1870,1450,560,33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W﻿ / 33.9067; -98.5259﻿ (Wichita Falls),"https://en.wikipedia.org/wiki/Wichita_Falls,_Texas"
296,Sparks,297,Nevada,104246,90264,+15.49%,359,930,2810,1080,39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W﻿ / 39.5544; -119.7356﻿ (Sparks),"https://en.wikipedia.org/wiki/Sparks,_Nevada"
297,Lakewood,298,New Jersey,104157,92843,+12.19%,247,640,4079,1575,40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W﻿ / 40.0771; -74.2004﻿ (Lakewood),"https://en.wikipedia.org/wiki/Lakewood_Township,_New_Jersey"
298,Burbank,299,California,103695,103340,+0.34%,174,451,6003,318,34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W﻿ / 34.1901; -118.3264﻿ (Burbank),"https://en.wikipedia.org/wiki/Burbank,_California"
299,Rialto,300,California,103440,99171,+4.30%,223,578,4633,1789,34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W﻿ / 34.1118; -117.3883﻿ (Rialto),"https://en.wikipedia.org/wiki/Rialto,_California"
300,Allen,301,Texas,103383,84246,+22.72%,271,70,3715,1434,33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W﻿ / 33.0997; -96.6631﻿ (Allen),"https://en.wikipedia.org/wiki/Allen,_Texas"
301,El Cajon,302,California,103241,99478,+3.78%,145,376,7156,763,32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W﻿ / 32.8017; -116.9604﻿ (El Cajon),"https://en.wikipedia.org/wiki/El_Cajon,_California"
302,Las Cruces,303,New Mexico,102926,97618,+5.44%,769,199,1323,511,32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W﻿ / 32.3264; -106.7897﻿ (Las Cruces),"https://en.wikipedia.org/wiki/Las_Cruces,_New_Mexico"
303,Renton,304,Washington,102153,90927,+12.35%,234,606,4314,1666,47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W﻿ / 47.4761; -122.1920﻿ (Renton),"https://en.wikipedia.org/wiki/Renton,_Washington"
304,Davenport,305,Iowa,102085,99685,+2.41%,629,169,1631,630,41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W﻿ / 41.5541; -90.6040﻿ (Davenport),"https://en.wikipedia.org/wiki/Davenport,_Iowa"
305,South Bend,306,Indiana,101860,101168,+0.68%,414,107,2457,949,41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W﻿ / 41.6769; -86.2690﻿ (South Bend),"https://en.wikipedia.org/wiki/South_Bend,_Indiana"
306,Vista,307,California,101224,93834,+7.88%,187,484,5436,099,33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W﻿ / 33.1895; -117.2386﻿ (Vista),"https://en.wikipedia.org/wiki/Vista,_California"
307,Tuscaloosa,308,Alabama,101113,90468,+11.77%,717,1857,1399,540,33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W﻿ / 33.2065; -87.5346﻿ (Tuscaloosa),"https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama"
308,Clinton,309,Michigan,100800,96796,+4.14%,281,78,3573,1380,42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W﻿ / 42.5903; -82.9170﻿ (Clinton),"https://en.wikipedia.org/wiki/Clinton_Township,_Macomb_County,_Michigan"
309,Edison,310,New Jersey,100693,99967,+0.73%,301,780,3389,1309,40°30′14″N 74°20′58″W﻿ / ﻿40.5040°N 74.3494°W﻿ / 40.5040; -74.3494﻿ (Edison),"https://en.wikipedia.org/wiki/Edison,_New_Jersey"
